n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000	MAF
0.96536591952471	0.947729566094854	0.939544903729635	0.939981160005383	0.942478471474704	0.966296670030272	0.977800201816347	0.981231079717457	0.98318197107299	0.984594685502859	0.985536495122772	0.985671039354188	0.00452279079650185
0.961830922916356	0.942363541589098	0.942661404423263	0.951522823739668	0.957703477548589	0.977139027477846	0.984213269789262	0.987489760965076	0.988830143718818	0.989798197929853	0.990170526472559	0.990170526472559	0.00554916657010946
0.959146341463415	0.945554091047349	0.946466592314712	0.954780492750684	0.964513839602555	0.981445807563622	0.987731927405455	0.988441650613404	0.990063875088715	0.990874987326371	0.991483321504613	0.991483321504613	0.00650561589577208
0.958001009591116	0.943962910703487	0.953839951622657	0.963011489619028	0.973392461197339	0.985789155412215	0.991533964926426	0.991433178794598	0.992743398508365	0.992642612376537	0.992844184640194	0.992541826244709	0.00742934153295706
0.960043787629995	0.952063040385247	0.960599759220751	0.971325380321769	0.978767648024516	0.989274378898982	0.991463281164496	0.992776622523804	0.99211995184415	0.992667177410529	0.993214402976907	0.992776622523804	0.00843527424209259
0.959856275554454	0.956543271016467	0.972762164169865	0.978457348025257	0.98217159836573	0.991209607527547	0.993933391110561	0.994057199455243	0.994304816144608	0.994181007799926	0.99492385786802	0.995047666212703	0.00947308208617061
0.959368787276342	0.958514470252143	0.971183703887716	0.981244565892436	0.983480313004596	0.989193888957893	0.992920134144827	0.993541175009316	0.993913799528009	0.993416966836418	0.993789591355111	0.994162215873804	0.0105011441435846
0.969284774023695	0.969439976604767	0.981573559520328	0.988156163181752	0.990495686503875	0.994736072525223	0.996783155432081	0.996490715016815	0.996929375639713	0.996490715016815	0.996344494809183	0.996636935224448	0.0115293143880684
0.953157426623184	0.959715639810427	0.981042654028436	0.986522511848341	0.989632701421801	0.993187203791469	0.995704976303318	0.997037914691943	0.996741706161137	0.996593601895735	0.996593601895735	0.996741706161137	0.0125566140106635
0.959487865469138	0.96981852913085	0.983381088825215	0.989684813753582	0.990066857688634	0.993887297039159	0.995224450811843	0.99541547277937	0.995606494746896	0.99541547277937	0.995606494746896	0.995224450811843	0.0135058306972302
0.959638964577657	0.974127659574468	0.988765957446809	0.991829787234043	0.993531914893617	0.995234042553191	0.996255319148936	0.996085106382979	0.996765957446809	0.996255319148936	0.996085106382979	0.995744680851064	0.0144354722893617
0.960234804014391	0.972164362810074	0.985798144290854	0.98731300889983	0.992046960802878	0.993372467335732	0.995644764249195	0.994697973868585	0.994887331944707	0.994697973868585	0.995455406173073	0.995266048096951	0.0154425125544404
0.960620976902688	0.972174900624645	0.988453530191179	0.991671398826424	0.993753549119818	0.996024985803521	0.996214272193829	0.996782131364755	0.996971417755063	0.997349990535681	0.997160704145372	0.997349990535681	0.0164803278061707
0.965441470235717	0.97823482428115	0.988418530351438	0.990215654952077	0.992811501597444	0.995207667731629	0.996405750798722	0.996605431309904	0.996605431309904	0.996605431309904	0.996605431309904	0.996405750798722	0.0175156731429712
0.973061047143168	0.985009776232892	0.990441016728221	0.993482511405605	0.994351509884858	0.996741255702802	0.998262003041495	0.998044753421682	0.998479252661308	0.998479252661308	0.998479252661308	0.998479252661308	0.0185340418857267
0.970513118179707	0.984908288832134	0.9930345948456	0.994892036220107	0.99721383793824	0.997678198281867	0.998374738797307	0.998374738797307	0.99860691896912	0.99860691896912	0.99860691896912	0.99860691896912	0.0195550577199907
0.966121495327103	0.984521028037383	0.991238317757009	0.989485981308411	0.993282710280374	0.996203271028037	0.997079439252336	0.997371495327103	0.997079439252336	0.997371495327103	0.997371495327103	0.997371495327103	0.0205136378212617
0.959989038092628	0.981638805152096	0.992600712523979	0.992326664839682	0.994519046314059	0.99534118936695	0.996163332419841	0.996985475472732	0.996711427788435	0.996437380104138	0.996437380104138	0.996437380104138	0.0214327399287476
0.959949302915082	0.979214195183777	0.992395437262357	0.994169835234474	0.995690747782003	0.996197718631179	0.996958174904943	0.996704689480355	0.996704689480355	0.996704689480355	0.996704689480355	0.996704689480355	0.0224543412674271
0.975325755475464	0.986969780981425	0.99223731632936	0.993900748544497	0.994455225949543	0.995286942057111	0.995564180759634	0.995286942057111	0.995564180759634	0.995564180759634	0.99611865816468	0.995841419462157	0.0234726898530635
0.977040816326531	0.991780045351474	0.997165532879819	0.9968820861678	0.997165532879819	0.998299319727891	0.998299319727891	0.998299319727891	0.998299319727891	0.998299319727891	0.998582766439909	0.998582766439909	0.0245035907879819
0.97879177377892	0.993894601542416	0.994537275064267	0.994858611825193	0.995179948586118	0.995501285347044	0.996143958868895	0.995822622107969	0.995822622107969	0.996143958868895	0.995822622107969	0.995822622107969	0.025535379659383
0.982148653034729	0.993833171048361	0.99480688088283	0.996429730606946	0.997403440441415	0.997728010386238	0.998052580331061	0.997728010386238	0.997403440441415	0.996429730606946	0.996429730606946	0.996754300551769	0.0265442322297955
0.980833026170291	0.99152230003686	0.996314043494287	0.997051234795429	0.997051234795429	0.998157021747143	0.998525617397715	0.998894213048286	0.998894213048286	0.999262808698857	0.999262808698857	0.999262808698857	0.0275085690748249
