MAF	n100	n200	n300	n400	n500	n1000	n2000
0.0255390643131236	0.966719109746738	0.967594013814275	0.968548733691481	0.969455871066769	0.96910821181888	0.968661550268611	0.968850345356869
0.0265195561769616	0.97149791144528	0.969177796327212	0.968618530884808	0.968848914858097	0.969159432387312	0.967906510851419	0.967980801335559
0.0275966593778591	0.971709057639524	0.970038426349497	0.971820677035682	0.972169258920403	0.972654162854529	0.971650503202196	0.971712717291857
0.028521556372906	0.984228696285506	0.98265841223598	0.982206846321923	0.982471959213401	0.982352512745812	0.982714493809177	0.982833940276766
0.0294420176375405	0.97603074433657	0.976667475728155	0.977097896440129	0.976912621359223	0.976355987055016	0.975959546925566	0.975788834951456
0.0304196512949039	0.977859649122807	0.976990810359231	0.976804511278195	0.977423558897243	0.977388471177945	0.975927318295739	0.976726817042607
0.0314956403696498	0.980621595330739	0.978842412451362	0.979349221789883	0.980046692607004	0.979549610894942	0.979037937743191	0.978724708171206
0.0325085441666667	0.975794577685089	0.976072916666667	0.977502083333333	0.9778625	0.978209375	0.977730208333333	0.977785416666667
0.0335555934314836	0.981680634201585	0.979284258210646	0.980449603624009	0.980619479048698	0.980479048697622	0.979284258210646	0.97964892412231
0.0345928960486322	0.983469098277609	0.983123606889564	0.982522796352584	0.982100303951368	0.981946301925025	0.981581560283688	0.981688956433637
0.0355115117177097	0.977157123834887	0.975681757656458	0.977011984021305	0.978078561917443	0.977703062583222	0.977355525965379	0.978185086551265
0.0364390558823529	0.981121176470588	0.982242352941176	0.982990588235294	0.982111764705882	0.981452941176471	0.981397647058823	0.981509411764706
0.0374319249425287	0.985704597701149	0.983922988505747	0.983474712643678	0.982385057471264	0.982962068965517	0.98136091954023	0.981042528735632
0.0384738102206736	0.976293844367015	0.976809523809524	0.976855981416957	0.975430894308943	0.976399535423926	0.975372822299652	0.975229965156794
0.0394877272251309	0.980236910994764	0.978488219895288	0.979659685863874	0.980403141361257	0.980438481675393	0.979569371727749	0.980571989528796
0.0405821452211127	0.978279600570613	0.978112696148359	0.977944365192582	0.978174037089872	0.977985734664765	0.9780242510699	0.978437945791726
0.0415624497555012	0.984552567237164	0.984051344743276	0.98468826405868	0.984695599022005	0.984858190709046	0.984788508557457	0.985403422982885
0.0425071103810775	0.984968462549277	0.985011826544021	0.985791064388962	0.986101182654402	0.98611038107753	0.984952693823916	0.984282522996058
0.0434153187270502	0.983488372093023	0.983816401468788	0.984099143206854	0.983957160342717	0.983922888616891	0.984521419828641	0.985547123623011
