n100	n200	n300	n400	n500	n1000	n2000	n3000	MAF
0.990765171503958	0.994722955145119	0.996701846965699	0.997361477572559	0.997361477572559	0.997361477572559	0.997361477572559	0.997361477572559	0.037467032651715
0.995317725752508	0.991304347826087	0.993311036789298	0.993979933110368	0.993979933110368	0.995317725752508	0.995317725752508	0.995317725752508	0.0384911871571906
0.991808873720136	0.994539249146758	0.997269624573379	0.996587030716723	0.996587030716723	0.995904436860068	0.995904436860068	0.996587030716723	0.0394968838225256
0.990602975724354	0.992169146436962	0.994518402505873	0.995301487862177	0.996084573218481	0.996084573218481	0.995301487862177	0.996084573218481	0.0405540574001566
0.995753715498938	0.997169143665959	0.995046001415428	0.994338287331918	0.995753715498938	0.996461429582449	0.997169143665959	0.997169143665959	0.0415696652512385
0.991388589881593	0.994617868675996	0.993541442411195	0.993541442411195	0.992465016146394	0.996770721205597	0.995694294940797	0.995694294940797	0.0425095210979548
0.99906103286385	0.994366197183099	0.997183098591549	0.997183098591549	0.997183098591549	0.996244131455399	0.99906103286385	0.99906103286385	0.0434150790610329
0.994708994708995	0.995590828924162	0.997354497354497	0.998236331569665	0.998236331569665	0.997354497354497	0.999118165784832	0.999118165784832	0.044474299382716
0.991796554552912	0.995077932731747	0.995077932731747	0.995077932731747	0.995898277276456	0.997538966365874	0.998359310910582	0.998359310910582	0.0454831561936013
0.992886178861789	0.991869918699187	0.995934959349594	0.995934959349594	0.997967479674797	0.995934959349594	0.995934959349594	0.995934959349594	0.046517244004065
0.997126436781609	0.998084291187739	0.998084291187739	0.998084291187739	0.998084291187739	0.998084291187739	0.998084291187739	0.998084291187739	0.0475459383141762
0.995884773662551	0.997942386831276	0.997942386831276	0.997942386831276	0.996913580246914	0.998971193415638	0.998971193415638	0.998971193415638	0.0485799483539095
0.998719590268886	1	1	1	1	1	1	1	0.0494852051216389
0.995939086294416	0.996954314720812	0.996954314720812	0.996954314720812	0.996954314720812	0.995939086294416	0.995939086294416	0.995939086294416	0.0504208196954315
0.993677555321391	0.995785036880927	0.998946259220232	0.998946259220232	0.998946259220232	0.998946259220232	0.998946259220232	0.998946259220232	0.051457958166491
0.992134831460674	0.995505617977528	0.996629213483146	0.996629213483146	0.996629213483146	0.998876404494382	0.998876404494382	0.998876404494382	0.0524934424719101
0.995014955134596	0.996011964107677	0.996011964107677	0.996011964107677	0.997008973080758	0.997008973080758	0.998005982053839	0.998005982053839	0.0535073919242273
0.998868778280543	0.997737556561086	0.997737556561086	0.997737556561086	0.997737556561086	0.998868778280543	0.998868778280543	0.998868778280543	0.0545402669683258
0.994838709677419	0.993548387096774	0.994838709677419	0.994838709677419	0.996129032258064	0.996129032258064	0.996129032258064	0.996129032258064	0.055571596516129
0.996557659208262	0.996557659208262	0.998278829604131	0.998278829604131	0.996557659208262	0.996557659208262	0.996557659208262	0.996557659208262	0.0565138075731497
