n100	n200	n300	n400	n500	n1000	n2000	MAF
0.992537313432836	0.996268656716418	0.992537313432836	0.994402985074627	0.994402985074627	0.996268656716418	0.994402985074627	0.0714555151119403
0.988785046728972	0.986915887850467	0.988785046728972	0.988785046728972	0.988785046728972	0.986915887850467	0.988785046728972	0.0724675938317757
0.991208791208791	0.995604395604396	0.997802197802198	0.997802197802198	0.997802197802198	0.997802197802198	0.995604395604396	0.0734355087912088
0.990267639902676	0.992700729927007	0.995133819951338	0.995133819951338	0.995133819951338	0.995133819951338	0.995133819951338	0.074532896350365
0.996497373029772	0.994746059544658	0.998248686514886	0.998248686514886	0.998248686514886	0.998248686514886	0.998248686514886	0.0755535623467601
0.995584988962472	0.995584988962472	0.997792494481236	0.997792494481236	0.997792494481236	0.997792494481236	0.995584988962472	0.0765666565121413
0.994594594594595	0.997297297297297	0.997297297297297	0.997297297297297	0.997297297297297	0.997297297297297	0.997297297297297	0.0775048186486487
0.996153846153846	0.996153846153846	0.996153846153846	0.996153846153846	0.998076923076923	0.996153846153846	0.996153846153846	0.0784785236538462
0.998058252427184	0.996116504854369	0.998058252427184	0.998058252427184	0.998058252427184	0.996116504854369	0.996116504854369	0.0794341165048544
0.995271867612293	0.995271867612293	0.997635933806147	0.997635933806147	0.997635933806147	0.997635933806147	0.997635933806147	0.0804824846335697
0.986754966887417	0.984547461368653	0.988962472406181	0.988962472406181	0.991169977924945	0.988962472406181	0.988962472406181	0.0815134856512141
0.997695852534562	1	0.995391705069124	1	0.997695852534562	1	0.997695852534562	0.082595629953917
0.991273996509599	0.991273996509599	0.993019197207679	0.993019197207679	0.991273996509599	0.993019197207679	0.993019197207679	0.0836078471204188
0.997899159663866	1	0.997899159663866	0.997899159663866	0.997899159663866	0.997899159663866	1	0.0845006296218487
0.996039603960396	0.998019801980198	0.998019801980198	0.996039603960396	0.998019801980198	0.998019801980198	0.996039603960396	0.0854236794059406
1	1	1	1	1	1	1	0.0864373589322382
1	1	1	1	1	1	1	0.0875300623445826
0.996268656716418	0.996268656716418	0.996268656716418	0.996268656716418	0.996268656716418	0.996268656716418	0.996268656716418	0.0884856929104478
0.988009592326139	0.985611510791367	0.988009592326139	0.990407673860911	0.992805755395683	0.992805755395683	0.992805755395683	0.0894934199040767
0.99290780141844	0.99290780141844	0.99290780141844	0.99468085106383	0.99468085106383	0.99468085106383	0.99468085106383	0.0906216232269504
0.991525423728814	0.991525423728814	0.994350282485876	0.997175141242938	0.994350282485876	0.994350282485876	0.997175141242938	0.0915022056497175
0.992167101827676	1	1	1	1	1	1	0.0924319981723238
0.990791896869245	0.992633517495396	0.992633517495396	0.990791896869245	0.992633517495396	0.992633517495396	0.992633517495396	0.0934566300184162
0.997777777777778	0.995555555555556	0.997777777777778	0.997777777777778	0.997777777777778	0.997777777777778	0.997777777777778	0.0944916295555556
0.990867579908676	0.990867579908676	0.990867579908676	0.990867579908676	0.993150684931507	0.993150684931507	0.993150684931507	0.0954743143835616
0.997752808988764	0.997752808988764	1	1	1	1	0.997752808988764	0.0965163173033708
0.993212669683258	0.995475113122172	0.995475113122172	0.995475113122172	0.995475113122172	0.995475113122172	0.995475113122172	0.0975505285067873
1	1	1	1	1	1	1	0.0984866878980892
0.997214484679666	0.997214484679666	0.997214484679666	0.997214484679666	0.997214484679666	0.997214484679666	0.997214484679666	0.0994261389972145
0.994661921708185	0.99644128113879	0.99644128113879	0.99644128113879	0.99644128113879	0.99644128113879	0.99644128113879	0.100488115658363
0.997014925373134	1	1	1	1	1	1	0.10142223880597
0.995348837209302	0.995348837209302	0.997674418604651	0.995348837209302	0.995348837209302	0.993023255813953	0.995348837209302	0.102496751162791
0.983050847457627	0.991525423728814	0.991525423728814	0.991525423728814	0.991525423728814	0.991525423728814	0.991525423728814	0.103502717514124
0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.995359628770302	0.104579480278422
0.993127147766323	0.993127147766323	0.993127147766323	0.993127147766323	0.993127147766323	0.993127147766323	0.993127147766323	0.10545887628866
