MAF	n100	n200	n300	n400	n500	n1000	n2000
0.0195529323094425	0.967003414911781	0.96641638225256	0.965801478953356	0.965748577929465	0.966262229806598	0.965420364050057	0.964442548350398
0.0205008154187817	0.967756979695432	0.966695431472081	0.964513324873096	0.964691624365482	0.96415038071066	0.964694162436548	0.964743020304568
0.0214424918503674	0.968625250501002	0.968705410821643	0.968525718102872	0.968305945223781	0.968472945891784	0.967647294589178	0.968571142284569
0.0224636375909993	0.973037723362012	0.970257445400397	0.971385837193911	0.971622766379881	0.971121111846459	0.969751819986764	0.969218398411648
0.0234577561774744	0.967930327868852	0.967476450511945	0.968960409556314	0.969561092150171	0.969552218430034	0.969003412969283	0.969114675767918
0.0245030625915081	0.97510541727672	0.974879209370425	0.97351317715959	0.972795021961933	0.971966325036603	0.97197803806735	0.970965592972182
0.0255523059052059	0.967864024864025	0.970573426573427	0.971777000777001	0.971005439005439	0.970829836829837	0.97089898989899	0.971505050505051
0.0265869189189189	0.965049959049959	0.964466011466012	0.96531941031941	0.965760032760033	0.966178542178542	0.964665847665848	0.965371826371826
0.0275107961406518	0.96448627787307	0.96627615780446	0.968224699828473	0.968304459691252	0.96831217838765	0.968542881646655	0.96872384219554
0.0284561446428571	0.972352678571429	0.973600892857143	0.974109821428571	0.973844642857143	0.973313392857143	0.972013392857143	0.971873214285714
0.0294687205560236	0.971712721145746	0.972074136478517	0.972022746419545	0.972233361415333	0.97239848357203	0.971634372367313	0.971756529064869
0.0304543486037736	0.981421886792453	0.981814339622642	0.981947169811321	0.982144150943396	0.98204	0.980935094339623	0.980564528301887
0.0314970257798165	0.972637614678899	0.974560550458716	0.974711926605505	0.975492660550459	0.975348623853211	0.974744036697248	0.974300917431193
0.0325660094304388	0.977134453781513	0.975057889822596	0.975607843137255	0.975721755368814	0.976048552754435	0.976393090569561	0.976175536881419
0.033530407537248	0.981542506573181	0.979228746713409	0.980144609991236	0.980205083260298	0.979567922874671	0.979390008764242	0.979149868536372
0.0345132355850422	0.975741857659831	0.977525934861279	0.978318455971049	0.978072376357057	0.978089264173703	0.977860072376357	0.977320868516285
0.0354726630864198	0.972666666666667	0.973811111111111	0.97489012345679	0.974459259259259	0.975525925925926	0.976537037037037	0.975981481481481
0.0364636733788396	0.979351535836178	0.978474402730375	0.977691695108077	0.97825369738339	0.977984072810011	0.978117178612059	0.977753128555176
0.0375355035331906	0.978633832976445	0.979180942184154	0.979546038543897	0.979232334047109	0.97877408993576	0.97924625267666	0.978826552462527
0.0385122169964029	0.98261690647482	0.982634892086331	0.981928057553957	0.981875899280576	0.981767086330935	0.982428057553957	0.982419064748201
0.039516635302391	0.978762306610408	0.977669479606188	0.977279887482419	0.977063291139241	0.977127988748242	0.978198312236287	0.97814064697609
0.0405738813253012	0.982227710843373	0.982278313253012	0.9825	0.982256626506024	0.982942168674699	0.982884337349398	0.982828915662651
0.0415648268945022	0.982744427934621	0.982765230312036	0.982417533432392	0.98207132243685	0.982344725111441	0.982154531946508	0.981362555720654
0.0424818895213454	0.986862871927555	0.987355756791721	0.986688227684347	0.986366106080207	0.985944372574385	0.985410090556274	0.985662354463131
0.0434403639143731	0.979266055045872	0.981311926605505	0.980909785932722	0.981149847094801	0.981474006116208	0.981058103975535	0.981452599388379
0.0445067517460317	0.980349206349206	0.9809	0.980904761904762	0.980561904761905	0.980849206349206	0.980261904761905	0.980706349206349
0.0455262955903272	0.985364153627312	0.985408250355619	0.985735419630156	0.986089615931721	0.986031294452347	0.985918918918919	0.985704125177809
0.0465572237379162	0.984210526315789	0.987058002148228	0.986515574650913	0.985525241675618	0.985373791621912	0.986004296455424	0.98571321160043
0.0474999778961385	0.975205059920107	0.979272969374168	0.979431424766977	0.976926764314248	0.975042609853529	0.976884154460719	0.977643142476698
0.0485453575322812	0.986057388809182	0.985107604017217	0.985545193687231	0.985469153515065	0.985572453371592	0.985853658536585	0.985674318507891
0.0494668924719101	0.989026966292135	0.988595505617977	0.988049438202247	0.988385393258427	0.988840449438202	0.988549438202247	0.98878202247191
0.0504699550847458	0.99004802259887	0.987707627118644	0.986491525423729	0.986265536723164	0.986305084745763	0.986358757062147	0.986357344632768
0.051502817654321	0.989201234567901	0.989259259259259	0.989508641975309	0.990292592592593	0.990351851851852	0.989628395061728	0.989758024691358
0.0524156292746114	0.98665932642487	0.986860103626943	0.986814766839378	0.987213730569948	0.987141191709845	0.987	0.987383419689119
0.0535215071544715	0.982068292682927	0.984653658536585	0.984869918699187	0.985434146341463	0.985035772357724	0.985130081300813	0.985635772357724
0.0545037986013986	0.984856643356643	0.983145104895105	0.984344405594406	0.984987762237762	0.985090909090909	0.984715034965035	0.98488986013986
0.055495343040293	0.986652014652015	0.987108058608059	0.986959706959707	0.987032967032967	0.986972527472528	0.98706043956044	0.987173992673993
0.0564695687392055	0.985421416234888	0.987150259067358	0.987355785837651	0.98772884283247	0.988017271157168	0.987894645941278	0.988094991364421
0.0574772070743405	0.987525179856115	0.988822541966427	0.988997601918465	0.989696642685851	0.989791366906475	0.989719424460432	0.989888489208633
0.0585008953416149	0.982886645962733	0.983762422360248	0.985068322981366	0.985636645962733	0.985518633540373	0.985333850931677	0.985577639751553
0.0595744496111975	0.987021772939347	0.987575427682737	0.988272161741835	0.988181959564541	0.988359253499222	0.988659409020218	0.988754276827372
