MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000
0.104541900692841	0.993653579676674	0.992990762124711	0.993381062355658	0.993140877598152	0.993094688221709	0.993247113163972	0.993193995381062	0.993025404157044
0.105509745679012	0.997439506172839	0.997486419753086	0.997587654320988	0.997123456790123	0.997059259259259	0.997207407407407	0.997133333333333	0.997175308641975
0.106410807355517	0.994775831873905	0.994665499124343	0.994723292469352	0.994528896672504	0.994719789842382	0.994661996497373	0.994718038528897	0.994877408056042
0.107447765458422	0.99256289978678	0.992253731343284	0.99244776119403	0.992226012793177	0.991889125799574	0.991921108742004	0.991626865671642	0.991742004264392
0.108463230483271	0.997061338289963	0.996646840148699	0.996838289962825	0.99664312267658	0.996676579925651	0.996457249070632	0.996407063197026	0.996468401486989
0.109515184368737	0.993965931863728	0.992821643286573	0.994052104208417	0.994234468937876	0.994204408817635	0.99460120240481	0.994787575150301	0.994438877755511
0.110535642990654	0.996110280373832	0.995685981308411	0.995685981308411	0.995751401869159	0.99574953271028	0.995564485981308	0.995685981308411	0.99581308411215
0.111576277280859	0.995237924865832	0.994280858676208	0.994062611806798	0.994080500894454	0.994059033989267	0.994354203935599	0.994286225402504	0.994293381037567
0.112485113785558	0.996328227571116	0.995575492341357	0.995831509846827	0.995614879649891	0.995754923413567	0.996041575492341	0.996301969365427	0.996369803063457
0.113397438834951	0.99661359223301	0.995677669902913	0.995990291262136	0.995897087378641	0.995732038834951	0.99601359223301	0.996196116504854	0.996083495145631
0.114432396995708	0.997051502145923	0.995948497854077	0.996049356223176	0.996068669527897	0.996171673819742	0.996251072961373	0.996364806866953	0.996375536480687
0.115508386036961	0.996954825462012	0.996232032854209	0.996503080082136	0.996334702258727	0.99617659137577	0.995977412731006	0.996347022587269	0.99629363449692
0.116546816115702	0.99703305785124	0.99645867768595	0.996654958677686	0.996380165289256	0.996373966942149	0.996140495867769	0.996314049586777	0.996299586776859
0.117563667355372	0.997630165289256	0.996845041322314	0.996842975206612	0.996824380165289	0.996690082644628	0.996638429752066	0.996714876033058	0.996644628099174
