MAF	n100	n200	n300	n400	n500	n1000	n2000	n3000	n4000	n5000	n6000	n7000
0.278512310769231	0.995772307692308	0.995664615384615	0.995729230769231	0.995867692307692	0.995923076923077	0.995778461538462	0.9958	0.995566153846154	0.995529230769231	0.995467692307692	0.995483076923077	0.995510769230769
0.279518519287834	0.995946587537092	0.996056379821958	0.995979228486647	0.995629080118694	0.995572700296736	0.995192878338279	0.995112759643917	0.995145400593472	0.995103857566766	0.995047477744807	0.995071216617211	0.995
0.280510852112676	0.996102112676056	0.99637676056338	0.996764084507042	0.99655985915493	0.996721830985915	0.996926056338028	0.996676056338028	0.99662323943662	0.996588028169014	0.996556338028169	0.996570422535211	0.996588028169014
0.281479713768116	0.994590579710145	0.994876811594203	0.995144927536232	0.994855072463768	0.994898550724638	0.994492753623188	0.994402173913044	0.994286231884058	0.994304347826087	0.994278985507246	0.994231884057971	0.994239130434783
0.282470798449612	0.995833333333333	0.995686046511628	0.995600775193798	0.995604651162791	0.995643410852713	0.99534496124031	0.995360465116279	0.995228682170543	0.995217054263566	0.995182170542636	0.995240310077519	0.995279069767442
0.283529091240876	0.99357299270073	0.993740875912409	0.993897810218978	0.99420802919708	0.994025547445256	0.993992700729927	0.994167883211679	0.994124087591241	0.994149635036496	0.994186131386861	0.994120437956204	0.994211678832117
0.284456297491039	0.995455197132616	0.995344086021505	0.995559139784946	0.995333333333333	0.995394265232975	0.995322580645161	0.995236559139785	0.995243727598566	0.995301075268817	0.99531541218638	0.995258064516129	0.995297491039427
0.285465643171806	0.994022026431718	0.994259911894273	0.994123348017621	0.994308370044053	0.994189427312775	0.994255506607929	0.994506607929515	0.994352422907489	0.994343612334802	0.994308370044053	0.994290748898678	0.99426872246696
0.28653037890625	0.99217578125	0.99287109375	0.99323828125	0.99334375	0.9932734375	0.99309375	0.99280078125	0.99281640625	0.992796875	0.99275390625	0.99276171875	0.99274609375
0.28749598828125	0.98659375	0.98659765625	0.98646875	0.9866640625	0.9866171875	0.9867890625	0.98656640625	0.98642578125	0.98640625	0.98640234375	0.98646875	0.98654296875
0.288484496621622	0.995435810810811	0.994820945945946	0.9945	0.994212837837838	0.994337837837838	0.994304054054054	0.994192567567568	0.99425	0.994121621621622	0.994158783783784	0.99422972972973	0.994182432432432
