Group.2	Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
IMPACT=HIGH	0.8	0.6	1	0.8	0.8	1	1	0.8	1	1	0.8	1	0.081515
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.08258544
IMPACT=HIGH	0.6	0.6	0.6	0.8	1	1	1	1	1	1	1	1	0.08357346
IMPACT=HIGH	0.75	1	1	1	1	1	1	1	1	1	1	1	0.0844998
IMPACT=HIGH	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	0.0853574833333333
IMPACT=HIGH	0.625	0.625	0.875	0.875	0.875	1	0.875	0.875	1	0.875	0.875	1	0.0865325125
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.0874846
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.08863728
IMPACT=HIGH	0.714285714285714	0.857142857142857	1	1	0.857142857142857	1	1	0.857142857142857	1	1	0.857142857142857	1	0.0894842
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.09036642
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0914642666666667
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.0923734
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0937971666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0946891666666667
IMPACT=HIGH	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	0.0951009
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0963359333333333
IMPACT=HIGH	1	0.857142857142857	1	1	0.857142857142857	1	1	0.857142857142857	1	1	0.857142857142857	1	0.0975710142857143
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0988196666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0993648142857143
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.100453
IMPACT=HIGH	0.5	0.5	0.75	1	0.75	1	1	0.75	1	1	0.75	1	0.1014305
IMPACT=HIGH	0.8	0.8	0.8	1	1	1	1	1	1	1	1	1	0.1025524
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.103540666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.10462125
IMPACT=HIGH	1	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	0.105599
IMPACT=HIGH	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.10652525
IMPACT=HIGH	0.8	0.8	1	0.8	1	1	1	1	1	1	1	1	0.1074926
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1085222
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.109304
IMPACT=HIGH	0.888888888888889	1	1	1	1	1	1	1	1	1	1	1	0.110424888888889
IMPACT=HIGH	1	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	0.111431666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.112598
IMPACT=HIGH	0.8	0.8	1	1	0.8	1	1	0.8	1	0.8	0.8	1	0.1132562
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.114391571428571
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1155825
IMPACT=HIGH	0.571428571428571	0.857142857142857	1	0.857142857142857	0.857142857142857	1	1	1	1	0.857142857142857	1	1	0.116479571428571
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.11795
IMPACT=HIGH	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	0.118773
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.119475666666667
IMPACT=HIGH	0.75	0.75	0.75	0.75	0.75	1	0.75	0.75	1	0.75	1	1	0.1205745
IMPACT=HIGH	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	1	1	1	1	1	1	0.121449
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1222725
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.123507333333333
IMPACT=HIGH	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.124434
IMPACT=HIGH	1	0	1	1	0	1	1	0	1	1	0	1	0.126184
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.127213
IMPACT=HIGH	0.8	1	1	0.8	1	1	1	1	1	1	1	1	0.1286952
IMPACT=HIGH	0.5	0.5	1	0	0	1	0.5	0.5	1	0.5	0.5	1	0.129786
IMPACT=HIGH	0.666666666666667	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	0.130300666666667
IMPACT=HIGH	1	0.5	1	1	0.5	1	1	0.5	1	1	0.5	1	0.13133
IMPACT=HIGH	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.8	0.8	1	0.1326062
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.133285
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1342115
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.135344
IMPACT=HIGH	0	0	1	1	1	1	1	1	1	1	1	1	0.13627
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.137573666666667
IMPACT=HIGH	0.333333333333333	0.666666666666667	1	0.666666666666667	1	1	1	1	1	1	1	1	0.138329
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.139632333333333
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.140696
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.141622
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.142171
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1437835
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1454815
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1465625
IMPACT=HIGH	1	0.6	1	1	0.6	1	1	0.6	1	1	0.6	1	0.1475916
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.148689666666667
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.149444
IMPACT=HIGH	0.75	1	1	1	1	1	1	1	1	1	1	1	0.150499125
IMPACT=HIGH	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.1514
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.152326
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.153561
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.15459
IMPACT=HIGH	1	0.75	1	1	0.75	1	1	0.75	1	1	0.75	1	0.155208
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1563194
IMPACT=HIGH	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.157266
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	1	0.666666666666667	1	0.158501333333333
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1597365
IMPACT=HIGH	0.333333333333333	1	1	1	1	1	1	1	1	1	1	1	0.160628666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.16128
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1622892
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.16303
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.164265
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.165431666666667
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.166598
IMPACT=HIGH	0.75	0.75	1	1	1	1	1	1	1	1	1	1	0.1674045
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.168588
IMPACT=HIGH	0	0	0	0	0	0	0	0	1	0	0	1	0.170029
IMPACT=HIGH	0.75	0.75	1	1	1	1	1	1	1	1	1	1	0.171573
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.172705
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.173528
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.174557
IMPACT=HIGH	0	1	1	1	1	1	1	1	1	1	1	1	0.175793
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.176513
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1772335
IMPACT=HIGH	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0.5	0.5	1	0.1785715
IMPACT=HIGH	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.333333333333333	1	0.666666666666667	0.333333333333333	0.666666666666667	0.179797
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.180733
IMPACT=HIGH	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1	0.1813914
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1825855
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1834605
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.184232
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1853026
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.18654775
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.18732
IMPACT=HIGH	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	0.188555
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.189447
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.190202
IMPACT=HIGH	0.8	1	1	1	1	1	1	1	1	1	1	1	0.191437
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.192569
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.19364975
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1944215
IMPACT=HIGH	0	1	1	1	1	1	1	1	1	1	1	1	0.19576
IMPACT=HIGH	0.6	0.4	1	0.8	0.6	1	0.8	0.6	1	0.8	0.6	1	0.1983946
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.1994855
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.20142025
IMPACT=HIGH	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	0.5	1	1	0.202552
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.20344825
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.204817
IMPACT=HIGH	0.5	0.5	0.5	0.75	0.75	0.75	1	1	1	1	1	1	0.20564
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	1	1	1	1	1	1	1	1	1	0.206258
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.207596
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.2085735
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.209517
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.210375
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.212570333333333
IMPACT=HIGH	0.75	0.75	1	0.75	0.75	1	0.75	0.75	1	0.75	0.75	1	0.21351375
IMPACT=HIGH	0.5	1	1	1	1	1	1	1	1	1	1	1	0.2144915
